tradeday_ID,Symbol,Open,High,Low,Close,Date,Weekday
22143,SPX,1976.6,1986.51,1968.8,1986.45,2016-03-03,Thursday
22144,SPX,1985.6,1993.69,1977.37,1993.4,2016-03-04,Friday
22145,SPX,1994.01,2009.13,1986.77,1999.99,2016-03-07,Monday
22146,SPX,1996.11,2006.12,1989.38,2001.76,2016-03-08,Tuesday
22147,SPX,1996.88,1996.88,1977.43,1979.26,2016-03-09,Wednesday
22148,SPX,1981.44,1992.69,1979.84,1989.26,2016-03-10,Thursday
22149,SPX,1990.97,2005.08,1969.25,1989.57,2016-03-11,Friday
22150,SPX,1994.71,2022.37,1994.71,2022.19,2016-03-14,Monday
22151,SPX,2019.27,2024.57,2012.05,2019.64,2016-03-15,Tuesday
22152,SPX,2015.27,2015.94,2005.23,2015.93,2016-03-16,Wednesday
22153,SPX,2014.24,2032.02,2010.04,2027.22,2016-03-17,Thursday
22154,SPX,2026.9,2046.24,2022.16,2040.59,2016-03-18,Friday
22155,SPX,2041.16,2052.36,2041.16,2049.58,2016-03-21,Monday
22156,SPX,2047.88,2053.91,2043.14,2051.6,2016-03-22,Tuesday
22157,SPX,2048.64,2056.6,2040.57,2049.8,2016-03-23,Wednesday
22158,SPX,2048.55,2048.55,2034.86,2036.71,2016-03-24,Thursday
22159,SPX,2032.48,2036.04,2022.49,2035.94,2016-03-28,Monday
22160,SPX,2037.89,2042.67,2031.96,2037.05,2016-03-29,Tuesday
22161,SPX,2035.75,2055.91,2028.31,2055.01,2016-03-30,Wednesday
22162,SPX,2058.27,2072.21,2058.27,2063.95,2016-03-31,Thursday
22163,SPX,2063.77,2067.92,2057.46,2059.74,2016-04-01,Friday
22164,SPX,2056.62,2075.07,2043.98,2072.78,2016-04-04,Monday
22165,SPX,2073.19,2074.02,2062.57,2066.13,2016-04-05,Tuesday
22166,SPX,2062.5,2062.5,2042.56,2045.17,2016-04-06,Wednesday
22167,SPX,2045.56,2067.33,2043.09,2066.66,2016-04-07,Thursday
22168,SPX,2063.01,2063.01,2033.8,2041.91,2016-04-08,Friday
22169,SPX,2045.54,2060.63,2041.69,2047.6,2016-04-11,Monday
22170,SPX,2050.23,2062.93,2041.88,2041.99,2016-04-12,Tuesday
22171,SPX,2043.72,2065.05,2039.74,2061.72,2016-04-13,Wednesday
22172,SPX,2065.92,2083.18,2065.92,2082.42,2016-04-14,Thursday
22173,SPX,2082.89,2087.84,2078.13,2082.78,2016-04-15,Friday
22174,SPX,2083.1,2083.22,2076.31,2080.73,2016-04-18,Monday
22175,SPX,2078.83,2094.66,2073.65,2094.34,2016-04-19,Tuesday
22176,SPX,2096.05,2104.05,2091.68,2100.8,2016-04-20,Wednesday
22177,SPX,2101.52,2111.05,2096.32,2102.4,2016-04-21,Thursday
22178,SPX,2102.09,2103.78,2088.52,2091.48,2016-04-22,Friday
22179,SPX,2091.49,2094.32,2081.2,2091.58,2016-04-25,Monday
22180,SPX,2089.37,2089.37,2077.52,2087.79,2016-04-26,Tuesday
22181,SPX,2089.84,2096.87,2085.8,2091.7,2016-04-27,Wednesday
22182,SPX,2092.33,2099.89,2082.31,2095.15,2016-04-28,Thursday
22183,SPX,2090.93,2099.3,2071.62,2075.81,2016-04-29,Friday
22184,SPX,2071.82,2073.85,2052.28,2065.3,2016-05-02,Monday
22185,SPX,2067.17,2083.42,2066.11,2081.43,2016-05-03,Tuesday
22186,SPX,2077.18,2077.18,2054.89,2063.37,2016-05-04,Wednesday
22187,SPX,2060.3,2060.3,2045.55,2051.12,2016-05-05,Thursday
22188,SPX,2052.95,2060.23,2045.77,2050.63,2016-05-06,Friday
22189,SPX,2047.77,2057.72,2039.45,2057.14,2016-05-09,Monday
22190,SPX,2057.55,2064.15,2054.31,2058.69,2016-05-10,Tuesday
22191,SPX,2062.63,2084.87,2062.63,2084.39,2016-05-11,Wednesday
22192,SPX,2083.29,2083.29,2064.46,2064.46,2016-05-12,Thursday
22193,SPX,2067.17,2073.99,2053.13,2064.11,2016-05-13,Friday
22194,SPX,2062.5,2066.79,2043.13,2046.61,2016-05-16,Monday
22195,SPX,2046.53,2071.88,2046.53,2066.66,2016-05-17,Tuesday
22196,SPX,2065.04,2065.69,2040.82,2047.21,2016-05-18,Wednesday
22197,SPX,2044.38,2060.61,2034.49,2047.63,2016-05-19,Thursday
22198,SPX,2044.21,2044.21,2025.91,2040.04,2016-05-20,Friday
22199,SPX,2041.88,2058.35,2041.88,2052.32,2016-05-23,Monday
22200,SPX,2052.23,2055.58,2047.26,2048.04,2016-05-24,Tuesday
22201,SPX,2052.65,2079.67,2052.65,2076.06,2016-05-25,Wednesday
22202,SPX,2078.93,2094.73,2078.93,2090.54,2016-05-26,Thursday
22203,SPX,2091.44,2094.3,2087.08,2090.1,2016-05-27,Friday
22204,SPX,2090.06,2099.06,2090.06,2099.06,2016-05-31,Tuesday
22205,SPX,2100.13,2103.48,2088.66,2096.96,2016-06-01,Wednesday
22206,SPX,2093.94,2100.97,2085.1,2099.33,2016-06-02,Thursday
22207,SPX,2097.71,2105.26,2088.59,2105.26,2016-06-03,Friday
22208,SPX,2104.07,2104.07,2085.36,2099.13,2016-06-06,Monday
22209,SPX,2100.83,2113.36,2100.83,2109.41,2016-06-07,Tuesday
22210,SPX,2110.18,2119.22,2110.18,2112.13,2016-06-08,Wednesday
22211,SPX,2112.71,2120.55,2112.71,2119.12,2016-06-09,Thursday
22212,SPX,2115.65,2117.64,2107.73,2115.48,2016-06-10,Friday
22213,SPX,2109.57,2109.57,2089.96,2096.07,2016-06-13,Monday
22214,SPX,2091.75,2098.12,2078.46,2079.06,2016-06-14,Tuesday
22215,SPX,2076.65,2081.3,2064.1,2075.32,2016-06-15,Wednesday
22216,SPX,2077.6,2085.65,2069.8,2071.5,2016-06-16,Thursday
22217,SPX,2066.36,2079.62,2050.37,2077.99,2016-06-17,Friday
22218,SPX,2078.2,2078.2,2062.84,2071.22,2016-06-20,Monday
22219,SPX,2075.58,2100.66,2075.58,2083.25,2016-06-21,Tuesday
22220,SPX,2085.19,2093.66,2083.02,2088.9,2016-06-22,Wednesday
22221,SPX,2089.75,2099.71,2084.36,2085.45,2016-06-23,Thursday
22222,SPX,2092.8,2113.32,2092.8,2113.32,2016-06-24,Friday
22223,SPX,2103.81,2103.81,2032.57,2037.41,2016-06-27,Monday
22224,SPX,2031.45,2031.45,1991.68,2000.54,2016-06-28,Tuesday
22225,SPX,2006.67,2036.09,2006.67,2036.09,2016-06-29,Wednesday
22226,SPX,2042.69,2073.13,2042.69,2070.77,2016-06-30,Thursday
22227,SPX,2073.17,2098.94,2070.0,2098.86,2016-07-01,Friday
22228,SPX,2099.34,2108.71,2097.9,2102.95,2016-07-05,Tuesday
22229,SPX,2095.05,2095.05,2080.86,2088.55,2016-07-06,Wednesday
22230,SPX,2084.43,2100.72,2074.02,2099.73,2016-07-07,Thursday
22231,SPX,2100.42,2109.08,2089.39,2097.9,2016-07-08,Friday
22232,SPX,2106.97,2131.71,2106.97,2129.9,2016-07-11,Monday
22233,SPX,2131.72,2143.16,2131.72,2137.16,2016-07-12,Tuesday
22234,SPX,2139.5,2155.4,2139.5,2152.14,2016-07-13,Wednesday
22235,SPX,2153.81,2156.45,2146.21,2152.43,2016-07-14,Thursday
22236,SPX,2157.88,2168.99,2157.88,2163.75,2016-07-15,Friday
22237,SPX,2165.13,2169.05,2155.79,2161.74,2016-07-18,Monday
22238,SPX,2162.04,2168.35,2159.63,2166.89,2016-07-19,Tuesday
22239,SPX,2163.79,2164.63,2159.01,2163.78,2016-07-20,Wednesday
22240,SPX,2166.1,2175.63,2164.89,2173.02,2016-07-21,Thursday
22241,SPX,2172.91,2174.56,2159.75,2165.17,2016-07-22,Friday
22242,SPX,2166.47,2175.11,2163.24,2175.03,2016-07-25,Monday
22243,SPX,2173.71,2173.71,2161.95,2168.48,2016-07-26,Tuesday
22244,SPX,2168.97,2173.54,2160.18,2169.18,2016-07-27,Wednesday
22245,SPX,2169.81,2174.98,2159.07,2166.58,2016-07-28,Thursday
22246,SPX,2166.05,2172.85,2159.74,2170.06,2016-07-29,Friday
22247,SPX,2168.83,2177.09,2163.49,2173.6,2016-08-01,Monday
22248,SPX,2173.15,2178.29,2166.21,2170.84,2016-08-02,Tuesday
22249,SPX,2169.94,2170.2,2147.58,2157.03,2016-08-03,Wednesday
22250,SPX,2156.81,2163.79,2152.56,2163.79,2016-08-04,Thursday
22251,SPX,2163.51,2168.19,2159.07,2164.25,2016-08-05,Friday
22252,SPX,2168.79,2182.87,2168.79,2182.87,2016-08-08,Monday
22253,SPX,2183.76,2185.44,2177.85,2180.89,2016-08-09,Tuesday
22254,SPX,2182.24,2187.66,2178.61,2181.74,2016-08-10,Wednesday
22255,SPX,2182.81,2183.41,2172.0,2175.49,2016-08-11,Thursday
22256,SPX,2177.97,2188.45,2177.97,2185.79,2016-08-12,Friday
22257,SPX,2183.74,2186.28,2179.42,2184.05,2016-08-15,Monday
22258,SPX,2186.08,2193.81,2186.08,2190.15,2016-08-16,Tuesday
22259,SPX,2186.24,2186.24,2178.14,2178.15,2016-08-17,Wednesday
